Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results,seed_word,source_file
what area code is 347,"Informational, Commercial",6600,"0.81,0.67,0.81,0.67,0.67,0.67,0.67,0.67,1.00,0.81,0.81,0.67",29,0.77,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches",126000000.0,code,code_broad-match_us_2025-12-12.csv
what area code is 929,"Informational, Commercial",6600,"0.44,0.66,0.54,0.44,0.36,0.81,0.81,1.00,0.66,0.66,0.81,0.54",9,1.24,0.0,"Sitelinks, AI Overview, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
where is area code 213,"Informational, Commercial",6600,"0.66,0.54,0.54,0.54,0.44,0.44,0.44,0.54,0.44,0.44,0.81,1.00",16,0.58,0.0,"Sitelinks, AI Overview, Image pack, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
wingstop code,Transactional,6600,"1.00,1.00,1.00,1.00,1.00,0.82,0.82,1.00,0.82,1.00,0.82,0.82",24,0.23,0.15,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
zip code albuquerque nuevo mexico,Informational,6600,"0.03,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.08,0.00",17,0.44,0.0,"Sitelinks, Knowledge panel, Related searches",76000.0,code,code_broad-match_us_2025-12-12.csv
zip code boston massachusetts ma,Informational,6600,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,0.29,0.00,0.00,0.00",23,0.45,0.0,"Sitelinks, People also ask, Knowledge panel, Related searches",76600000.0,code,code_broad-match_us_2025-12-12.csv
zip code boston massachusetts usa,Informational,6600,"0.01,0.01,0.00,0.03,0.01,0.81,0.00,1.00,0.36,0.00,0.00,0.00",23,0.44,0.0,"Image, Knowledge panel, Related searches",153000000.0,code,code_broad-match_us_2025-12-12.csv
zip code brooklyn new york usa,Informational,6600,"0.10,0.02,0.07,0.01,1.00,1.00,1.00,0.66,0.66,0.00,0.08,0.00",13,0.41,0.0,"Sitelinks, AI Overview, Image, Image pack, People also ask, Carousel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
zip code chicago illinois usa,Informational,6600,"0.00,0.00,0.00,0.00,0.01,0.08,1.00,0.54,0.00,0.00,0.02,0.00",28,0.45,0.0,"Sitelinks, Image, Knowledge panel, Related searches",,code,code_broad-match_us_2025-12-12.csv
zip code detroit michigan usa,Informational,6600,"0.10,0.00,0.00,0.01,1.00,1.00,1.00,0.66,0.66,0.00,0.08,0.00",15,0.44,0.0,"Video, Knowledge panel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
zip code for baltimore maryland usa,Informational,6600,"0.03,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.02,0.19",21,0.44,0.0,"Image, People also ask, Knowledge panel, Related searches",2730000.0,code,code_broad-match_us_2025-12-12.csv
zip code for los angeles city,Informational,6600,"0.00,0.00,0.01,0.00,1.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00",22,0.44,0.0,"Video, People also ask, Knowledge panel, Related searches",47400000.0,code,code_broad-match_us_2025-12-12.csv
zip code for pennsylvania philadelphia,Informational,6600,"0.01,0.00,0.00,0.00,0.01,1.00,0.81,0.81,0.44,0.00,0.00,0.00",15,0.46,0.0,"Image pack, Knowledge panel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
zip code from chicago,Informational,6600,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.54,0.00,0.00,0.00,0.00",25,0.4,0.0,"Sitelinks, Knowledge panel",9.0,code,code_broad-match_us_2025-12-12.csv
zip code of baltimore maryland usa,Informational,6600,"0.03,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.00,0.00",25,0.44,0.0,"Image, Knowledge panel, Related searches",,code,code_broad-match_us_2025-12-12.csv
zip code of okc,Informational,6600,"0.08,0.00,0.03,0.01,1.00,1.00,1.00,0.66,0.66,0.00,0.00,0.00",26,0.44,0.0,"Sitelinks, Knowledge panel",593000.0,code,code_broad-match_us_2025-12-12.csv
zip code of orlando florida usa,Informational,6600,"0.01,0.01,0.02,0.00,1.00,0.00,0.00,0.44,0.36,0.00,0.00,0.00",27,0.45,0.0,"Image, People also ask, Knowledge panel, Related searches",15100000.0,code,code_broad-match_us_2025-12-12.csv
zip code to albuquerque new mexico,Informational,6600,"0.01,0.00,0.07,0.00,0.81,1.00,1.00,0.66,0.81,0.00,0.08,0.00",24,0.44,0.0,"Sitelinks, Image, Image pack, People also ask, Knowledge panel, Related searches",4.0,code,code_broad-match_us_2025-12-12.csv
zip code usa florida orlando,Informational,6600,"0.01,0.01,0.02,0.00,1.00,0.00,0.00,0.44,0.36,0.00,0.00,0.00",29,0.44,0.0,"Sitelinks, Knowledge panel, Related searches",8670000.0,code,code_broad-match_us_2025-12-12.csv
zip code usa orlando,Informational,6600,"0.01,0.13,0.02,0.00,1.00,0.00,0.00,0.44,0.36,0.00,0.00,0.00",27,0.45,0.0,"People also ask, Knowledge panel, Related searches",161000000.0,code,code_broad-match_us_2025-12-12.csv
zip code usa orlando florida,Informational,6600,"0.01,0.01,0.02,0.00,1.00,0.00,0.00,0.44,0.36,0.00,0.00,0.00",26,0.44,0.0,"Sitelinks, Knowledge panel, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
zip codes for charlotte,Informational,6600,"0.00,0.00,0.02,0.00,0.01,0.66,1.00,0.00,0.00,0.00,0.03,0.00",16,0.4,0.0,"Image, Image pack, Video, People also ask, Knowledge panel, Related searches",7500000.0,code,code_broad-match_us_2025-12-12.csv
zip codes in oklahoma city ok,Informational,6600,"0.08,0.02,0.05,0.00,0.81,0.81,1.00,0.54,0.54,0.00,0.00,0.00",13,0.46,0.0,"People also ask, Knowledge panel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
225 area code location,Informational,5400,"0.24,0.13,1.00,0.13,0.13,0.08,0.13,0.44,0.08,0.24,0.29,0.19",20,0.16,0.0,"AI Overview, Image pack, Video, Related searches",301000000.0,code,code_broad-match_us_2025-12-12.csv
302 status code,Informational,5400,"1.00,1.00,1.00,1.00,0.81,1.00,1.00,0.81,0.67,0.81,0.67,0.81",24,0.25,0.0,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
310 telephone code,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",24,1.3,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",16500000.0,code,code_broad-match_us_2025-12-12.csv
313 area code location,Informational,5400,"0.81,1.00,0.81,0.67,0.36,0.28,0.36,0.22,0.53,0.67,0.36,0.36",26,5.04,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",155000000.0,code,code_broad-match_us_2025-12-12.csv
314 area code location,Informational,5400,"1.00,0.19,0.19,0.13,0.36,0.13,0.08,0.08,0.24,0.13,0.10,0.29",24,0.81,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",134000000.0,code,code_broad-match_us_2025-12-12.csv
314 code area,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.01,0.00,0.03,0.00",29,0.81,0.0,"AI Overview, Image, Video, People also ask, Related searches",142000000.0,code,code_broad-match_us_2025-12-12.csv
316 area code location,Informational,5400,"0.36,0.16,0.08,0.16,0.12,0.19,0.36,1.00,0.24,0.19,0.44,0.24",20,0.91,0.0,"AI Overview, Video, People also ask, Related searches",138000000.0,code,code_broad-match_us_2025-12-12.csv
317 area code location,"Informational, Commercial",5400,"1.00,0.29,0.29,0.16,0.44,0.08,0.10,0.08,0.10,0.16,0.13,0.10",29,0.64,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",126000000.0,code,code_broad-match_us_2025-12-12.csv
318 area code location,Informational,5400,"0.54,1.00,0.10,0.66,0.03,0.03,0.19,0.04,0.07,0.19,0.13,0.05",24,0.67,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
424 area code location,"Informational, Commercial",5400,"0.08,0.14,0.44,1.00,0.22,0.08,0.08,0.08,0.06,0.08,0.11,0.14",20,0.56,0.0,"Featured snippet, Sitelinks, Video, People also ask, Related searches, See results about",105000000.0,code,code_broad-match_us_2025-12-12.csv
469 area code location,"Informational, Commercial",5400,"0.81,0.54,0.54,0.54,0.44,1.00,0.67,0.44,0.24,1.00,0.35,0.35",28,0.68,0.0,"AI Overview, Image pack, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
470 country code,Informational,5400,"0.00,0.00,0.03,0.00,0.00,0.29,0.08,0.00,0.00,0.02,0.00,1.00",21,0.61,0.0,"AI Overview, Image, Image pack, Video, Related searches",8.0,code,code_broad-match_us_2025-12-12.csv
504 area code location,Informational,5400,"0.45,0.17,0.14,1.00,0.34,0.17,0.28,0.34,0.17,0.14,0.17,0.14",25,1.57,0.0,"AI Overview, Image pack, Related searches",,code,code_broad-match_us_2025-12-12.csv
516 area code location,Informational,5400,"0.36,0.36,0.66,0.44,0.29,0.16,1.00,0.29,0.29,0.24,0.16,0.24",24,0.46,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",82200000.0,code,code_broad-match_us_2025-12-12.csv
516 telephone area code,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",15,0.46,0.0,"Sitelinks, AI Overview, Image, Video, Related searches",3340000.0,code,code_broad-match_us_2025-12-12.csv
609 telephone area code,"Informational, Commercial",5400,"0.00,0.00,0.01,0.00,1.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00",24,0.99,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",2830000.0,code,code_broad-match_us_2025-12-12.csv
613 phone area code,"Informational, Commercial",5400,"0.00,0.00,0.01,0.00,0.03,0.00,0.00,1.00,0.00,0.00,0.01,0.01",24,0.33,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches",70900000.0,code,code_broad-match_us_2025-12-12.csv
626 area code location,Informational,5400,"0.44,1.00,0.44,0.81,0.50,0.50,0.19,0.44,0.25,0.31,0.44,0.25",16,0.74,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",62300000.0,code,code_broad-match_us_2025-12-12.csv
630 area code location,"Informational, Commercial",5400,"0.44,1.00,0.29,0.36,0.29,0.10,0.13,0.24,0.13,0.19,0.16,0.36",22,3.74,0.0,"Featured snippet, People also ask",128000000.0,code,code_broad-match_us_2025-12-12.csv
702 area code location,Informational,5400,"0.29,0.44,0.66,1.00,0.81,0.44,0.66,0.54,0.54,1.00,0.29,0.36",16,1.12,0.0,"AI Overview, Image, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
707 california area code,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",27,1.02,0.0,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches",20800000.0,code,code_broad-match_us_2025-12-12.csv
813 area code location,"Informational, Commercial",5400,"0.28,0.66,0.66,0.55,1.00,0.45,0.34,0.45,0.55,0.83,0.45,0.66",21,0.85,0.0,"AI Overview, Video, Related searches",46500000.0,code,code_broad-match_us_2025-12-12.csv
845 area code location,Informational,5400,"0.55,0.20,0.24,0.29,0.44,1.00,0.29,0.20,0.29,0.67,0.15,0.24",19,1.34,0.0,"AI Overview, Image, Video, People also ask, Related searches",46600000.0,code,code_broad-match_us_2025-12-12.csv
903 phone code,Informational,5400,"0.00,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01",19,0.69,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches",14400000.0,code,code_broad-match_us_2025-12-12.csv
90837 cpt code,Informational,5400,"1.00,0.81,0.54,0.81,0.81,0.66,0.66,0.66,0.54,0.66,0.66,0.54",27,2.93,0.02,"Featured snippet, Sitelinks, Video, Video carousel, People also ask, Related searches",35700.0,code,code_broad-match_us_2025-12-12.csv
929 area code location,Informational,5400,"0.29,1.00,0.19,0.54,0.29,0.66,0.44,0.44,0.24,0.24,0.29,0.19",21,0.67,0.0,"Sitelinks, AI Overview, Image pack, Related searches",42700000.0,code,code_broad-match_us_2025-12-12.csv
949 area code location,"Informational, Commercial",5400,"0.29,0.81,0.35,0.81,0.44,0.81,0.66,0.81,0.54,1.00,0.35,0.54",23,0.44,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",7.0,code,code_broad-match_us_2025-12-12.csv
951 area code ca,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",26,0.6,0.0,"Sitelinks, AI Overview, People also ask, Related searches, Things to know",6190000.0,code,code_broad-match_us_2025-12-12.csv
99203 cpt code,Informational,5400,"0.81,0.81,0.81,1.00,0.81,0.81,0.66,0.81,0.54,1.00,0.54,1.00",9,2.51,0.0,"Sitelinks, AI Overview, Video, Related searches",101000.0,code,code_broad-match_us_2025-12-12.csv
abercrombie and fitch discount code,"Informational, Transactional",5400,"0.16,1.00,0.10,0.44,0.04,0.05,0.13,0.04,0.10,0.05,0.05,0.13",22,1.03,0.96,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",10.0,code,code_broad-match_us_2025-12-12.csv
afk journey codes,Informational,5400,"1.00,0.80,0.80,0.80,0.40,0.40,0.40,0.50,0.15,0.15,0.25,0.15",20,6.5,0.02,"Sitelinks, Image, Video, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
alo yoga coupon code,Transactional,5400,"1.00,0.81,1.00,0.54,0.19,0.44,0.81,0.35,0.81,0.81,0.54,0.35",24,1.49,0.9,"Sitelinks, Image pack, Video, Related searches, Ads bottom",10.0,code,code_broad-match_us_2025-12-12.csv
america zip code florida,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.36,0.00,0.05,0.44",29,0.44,0.01,"AI Overview, Video, People also ask, Carousel, Related searches",41000000.0,code,code_broad-match_us_2025-12-12.csv
archero 2 redeem code,Informational,5400,"0.00,0.00,0.00,1.00,0.24,0.20,0.13,0.03,0.02,0.01,0.00,0.00",23,4.18,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",31500.0,code,code_broad-match_us_2025-12-12.csv
area 713 code,Informational,5400,"0.02,0.00,0.08,0.01,0.00,0.81,1.00,0.81,0.81,0.00,0.10,0.54",19,0.85,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",26800000.0,code,code_broad-match_us_2025-12-12.csv
area code 212,Informational,5400,"0.67,0.67,0.44,0.67,1.00,0.35,0.44,0.44,0.44,0.67,0.67,0.67",20,3.76,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",201000000.0,code,code_broad-match_us_2025-12-12.csv
area code 301 location,Informational,5400,"0.30,0.44,0.30,0.30,1.00,0.35,0.30,0.19,1.00,0.30,0.19,0.30",9,0.32,0.0,"AI Overview, Image pack, Video, Related searches",195000000.0,code,code_broad-match_us_2025-12-12.csv
area code 310 location,"Informational, Commercial",5400,"0.29,0.24,0.29,0.29,0.29,0.29,0.36,0.29,0.24,1.00,0.36,0.36",26,2.65,0.0,"AI Overview, Image pack, People also ask, Related searches, See results about",9.0,code,code_broad-match_us_2025-12-12.csv
area code 313 location,"Informational, Commercial",5400,"0.28,1.00,0.36,0.36,0.53,0.22,0.67,0.67,0.53,0.53,0.44,0.67",20,5.04,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 337,Informational,5400,"0.54,0.54,0.54,0.81,0.67,0.67,0.81,0.81,0.81,0.81,1.00,0.81",24,0.5,0.0,"AI Overview, Image pack, People also ask, Related searches",119000000.0,code,code_broad-match_us_2025-12-12.csv
area code 408 location,"Informational, Commercial",5400,"0.35,1.00,0.54,0.67,1.00,0.24,0.19,0.30,0.15,0.24,0.19,0.24",26,0.92,0.0,"AI Overview, People also ask, Related searches, See results about",103000000.0,code,code_broad-match_us_2025-12-12.csv
area code 424 location,"Informational, Commercial",5400,"0.82,0.82,0.82,0.55,0.66,1.00,0.43,1.00,0.55,0.66,0.43,0.55",27,0.56,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",147000000.0,code,code_broad-match_us_2025-12-12.csv
area code 425 location,Informational,5400,"0.44,0.67,0.44,0.23,0.28,0.36,0.28,0.23,1.00,0.54,0.44,0.54",19,0.98,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 502 location,Informational,5400,"0.82,1.00,0.66,0.66,0.66,0.55,0.43,0.43,0.30,1.00,0.55,0.55",23,0.45,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",150000000.0,code,code_broad-match_us_2025-12-12.csv
area code 503 location,Informational,5400,"0.66,0.36,0.81,0.29,0.54,0.29,0.54,1.00,0.36,0.54,0.44,0.44",20,0.61,0.0,"AI Overview, Image pack, People also ask, Related searches",51500000.0,code,code_broad-match_us_2025-12-12.csv
area code 505 location,Informational,5400,"0.54,0.24,0.12,0.19,0.16,0.19,0.81,0.16,0.16,1.00,0.19,0.29",19,1.14,0.0,"AI Overview, Image pack, Video, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
area code 508 location,Informational,5400,"0.29,0.36,0.29,1.00,0.19,0.16,0.16,0.29,0.16,0.29,0.12,0.66",9,0.72,0.0,"AI Overview, Video, Related searches",103000000.0,code,code_broad-match_us_2025-12-12.csv
area code 512 location,"Informational, Commercial",5400,"0.81,1.00,0.67,0.53,1.00,0.28,0.36,0.44,0.28,0.53,0.36,0.36",20,0.19,0.0,"AI Overview, Image pack, Related searches",8.0,code,code_broad-match_us_2025-12-12.csv
area code 513 location,Informational,5400,"1.00,0.82,0.82,0.67,1.00,0.44,0.29,0.35,0.29,0.35,0.35,0.44",17,1.19,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",9.0,code,code_broad-match_us_2025-12-12.csv
area code 516 location,"Informational, Commercial",5400,"0.34,0.83,0.34,1.00,0.45,0.24,0.34,0.34,0.34,0.45,0.69,0.34",23,0.46,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",9.0,code,code_broad-match_us_2025-12-12.csv
area code 567,Informational,5400,"0.44,0.35,0.54,1.00,0.67,0.81,0.81,0.81,0.67,0.44,1.00,0.44",14,0.68,0.0,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 573 missouri,"Informational, Commercial",5400,"0.01,0.00,0.02,0.00,0.02,1.00,0.00,0.81,0.24,0.00,0.00,0.36",25,0.96,0.0,"AI Overview, Video, People also ask, Related searches, Things to know",862000.0,code,code_broad-match_us_2025-12-12.csv
area code 619 location,Informational,5400,"0.44,0.82,0.67,0.67,0.82,0.44,0.55,0.55,0.67,1.00,0.55,0.55",25,0.45,0.0,"Sitelinks, Image pack, Video, Related searches",,code,code_broad-match_us_2025-12-12.csv
area code 628 location,Informational,5400,"0.08,0.08,0.10,1.00,0.08,0.13,0.36,0.24,0.16,0.19,0.16,0.24",27,0.46,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches",8.0,code,code_broad-match_us_2025-12-12.csv
area code 636,Informational,5400,"0.36,0.36,0.36,0.24,0.24,0.29,0.36,0.54,0.29,0.36,0.36,1.00",9,0.43,0.0,"Sitelinks, AI Overview, Image pack, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 657 location,Informational,5400,"0.55,0.24,0.36,0.24,0.36,0.44,0.20,0.29,0.36,1.00,0.82,0.36",11,0.72,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 706 location,Informational,5400,"0.44,0.54,1.00,0.36,0.81,0.19,0.81,0.19,0.23,0.66,0.15,0.23",23,0.62,0.0,"AI Overview, Image pack, Related searches",68300000.0,code,code_broad-match_us_2025-12-12.csv
area code 719 location,Informational,5400,"0.82,0.55,0.36,0.43,0.82,0.43,0.55,1.00,0.36,0.43,0.55,0.43",23,0.7,0.0,"AI Overview, People also ask, Related searches",47100000.0,code,code_broad-match_us_2025-12-12.csv
area code 765,Informational,5400,"0.82,0.43,0.55,0.30,0.82,0.66,0.82,0.82,0.66,0.66,0.55,1.00",18,0.68,0.0,"AI Overview, People also ask, Related searches",53000000.0,code,code_broad-match_us_2025-12-12.csv
area code 804 location,"Informational, Commercial",5400,"1.00,0.82,0.66,0.55,0.82,0.30,0.23,0.55,0.30,0.23,0.30,0.30",23,0.66,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",47400000.0,code,code_broad-match_us_2025-12-12.csv
area code 805 location,Informational,5400,"0.54,1.00,0.44,0.54,0.44,0.23,0.30,0.44,0.23,0.81,0.30,0.36",23,0.52,0.0,"AI Overview, Related searches",,code,code_broad-match_us_2025-12-12.csv
area code 808 location,Informational,5400,"1.00,0.24,0.10,0.19,0.13,0.10,0.10,0.13,0.10,0.16,0.10,0.13",9,0.72,0.0,"AI Overview, Image, Image pack, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
area code 830,Informational,5400,"0.66,0.66,0.55,1.00,0.82,0.55,0.82,0.43,0.55,0.66,0.36,0.43",19,0.31,0.0,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",61700000.0,code,code_broad-match_us_2025-12-12.csv
area code 848,Informational,5400,"0.36,0.29,0.29,0.36,0.36,0.44,0.29,0.29,0.44,0.66,0.81,1.00",18,0.9,0.0,"AI Overview, Video, People also ask",39100000.0,code,code_broad-match_us_2025-12-12.csv
area code 865,Informational,5400,"0.83,0.66,0.66,0.83,0.83,0.83,0.83,1.00,0.66,0.83,0.66,0.66",27,0.38,0.0,"Sitelinks, AI Overview, Video, Related searches",51200000.0,code,code_broad-match_us_2025-12-12.csv
area code 919 location,"Informational, Commercial",5400,"1.00,1.00,0.82,0.82,1.00,0.82,0.82,0.43,0.55,0.66,0.82,0.55",23,0.33,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches, See results about",44900000.0,code,code_broad-match_us_2025-12-12.csv
area code 959,"Informational, Commercial",5400,"0.36,0.36,0.36,0.44,0.81,0.66,0.44,0.36,0.54,1.00,0.66,0.36",26,0.22,0.0,"AI Overview, Image pack, People also ask, Related searches",37000000.0,code,code_broad-match_us_2025-12-12.csv
area code 984,Informational,5400,"1.00,0.81,0.54,1.00,1.00,0.81,1.00,1.00,0.81,1.00,0.81,0.81",26,1.28,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",32800000.0,code,code_broad-match_us_2025-12-12.csv
arizona 480 area code,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",20,0.52,0.0,"AI Overview, Image pack, Video, Related searches, See results about",,code,code_broad-match_us_2025-12-12.csv
atlantic cod,Informational,5400,"0.44,0.54,0.36,0.44,0.54,1.00,0.54,0.66,0.44,0.44,0.81,0.66",21,1.22,0.05,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, See results about",8.0,code,code_broad-match_us_2025-12-12.csv
baggu discount code,Transactional,5400,"1.00,0.29,0.29,0.19,0.29,0.29,0.29,0.44,0.36,0.44,0.66,0.36",18,0.73,0.47,"Sitelinks, Video, People also ask, Related searches",500000.0,code,code_broad-match_us_2025-12-12.csv
baublebar discount code,Transactional,5400,"0.54,0.81,1.00,0.35,0.35,0.35,0.44,0.54,0.54,0.66,0.81,0.81",20,0.8,1.0,"Sitelinks, Video, People also ask, Related searches, Ads bottom",179000.0,code,code_broad-match_us_2025-12-12.csv
beis discount code,Transactional,5400,"0.44,0.54,1.00,0.44,0.66,0.54,0.54,0.44,0.44,0.54,0.54,0.44",27,1.17,1.0,"Sitelinks, AI Overview, Video, People also ask, Related searches",,code,code_broad-match_us_2025-12-12.csv
bjs promo code,Transactional,5400,"0.67,1.00,0.82,0.82,0.67,1.00,0.67,0.82,0.67,0.67,0.82,0.55",23,4.7,0.25,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",6.0,code,code_broad-match_us_2025-12-12.csv
blackened cod,Informational,5400,"0.54,0.54,0.19,1.00,0.29,0.44,0.15,0.36,0.36,0.36,0.29,0.29",25,1.34,0.59,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",4630000.0,code,code_broad-match_us_2025-12-12.csv
blockspin codes,Informational,5400,"0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.66,1.00,0.44,0.24",26,4.6,0.0,"Featured snippet, Image, Image pack, Video, Video carousel, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
boston pin code,Informational,5400,"0.28,1.00,0.04,0.43,0.00,0.36,0.24,0.43,0.00,0.00,0.03,0.03",22,0.45,0.0,"Image, Video, Knowledge panel, Related searches",,code,code_broad-match_us_2025-12-12.csv
boston postal code,Informational,5400,"0.06,0.06,0.05,0.24,0.44,0.82,1.00,0.55,0.82,0.67,0.24,0.15",24,0.44,0.0,"Image, Image pack, Video, Knowledge panel, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
brownells coupon code,Transactional,5400,"1.00,0.81,0.67,0.81,0.54,0.67,0.54,0.67,0.44,0.54,0.44,0.54",26,0.63,0.41,"Sitelinks, Video, Related searches, Ads top, Ads bottom, Ads middle",597000.0,code,code_broad-match_us_2025-12-12.csv
brunt discount code,Transactional,5400,"0.44,1.00,0.54,0.44,0.54,0.66,0.66,0.66,0.66,0.66,0.66,0.66",18,0.7,0.97,"Sitelinks, Video, People also ask, Related searches, Ads bottom",1270000.0,code,code_broad-match_us_2025-12-12.csv
caden lane discount code,Transactional,5400,"0.54,0.81,0.66,0.66,0.66,1.00,0.81,1.00,0.66,1.00,1.00,1.00",23,1.58,0.84,"Sitelinks, Video, People also ask, Related searches, Ads top, Ads bottom",71100.0,code,code_broad-match_us_2025-12-12.csv
california 310 area code,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",18,1.3,0.0,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",20400000.0,code,code_broad-match_us_2025-12-12.csv
california 951 area code,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",27,0.6,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",4400000.0,code,code_broad-match_us_2025-12-12.csv
california state zip code,Informational,5400,"0.07,0.13,1.00,0.02,0.05,0.00,0.01,0.00,0.04,0.00,0.00,0.00",27,0.45,0.01,"Image pack, People also ask, Carousel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
cape cod obituaries,"Navigational, Commercial",5400,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81",13,1.86,0.01,"Sitelinks, Image, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
cape cod pizza,"Navigational, Commercial",5400,"0.66,0.44,0.81,0.81,0.81,0.81,0.66,0.19,0.54,0.81,1.00,0.66",26,1.29,0.27,"Sitelinks, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
